04000US09,40,Connecticut,2010,3577073,2434383,277008,687618,604458,491990,373309,11.37898186,28.24608946,24.8300288,20.21004912,15.33485076,34.76460452,36.40961335,3577073,2540999,335151,4363,133888,1238,15703,63830,481901,71.03570433,9.369420194,3.742948494,1.784419832,13.47193641,45071,264708,11716,28242,41803,74964,15397,9.352750876,54.92995449,2.43120475,5.86053982,38832,30371,13077,4348,9484,11518,26708,29.00334608,22.68388504,9.767118786,3.24749044,7.083532505,8.602712715,0.486,64032,240868,25843
04000US10,40,Delaware,2010,899769,600779,74121,196159,163431,99400,67668,12.33748184,32.65077508,27.2031812,16.5451855,11.26337638,27.64000051,27.99667515,899769,587891,189585,1922,27359,553,1153,17464,73842,65.33799231,21.07040807,3.040669327,1.94094262,8.206773072,29219,21672,2569,1452,8396,7804,2730,39.56962162,29.34915089,3.479049863,1.966360608,11336,7010,3703,620,827,655,3331,41.43426295,25.62228152,13.53485142,2.266164699,3.0227713,2.394093351,0.44,55847,180654,24162
04000US11,40,District of Columbia,2010,604453,416824,52392,84569,71039,96573,112251,12.56933382,20.28889891,17.04292459,23.16877147,26.93007121,48.90716931,51.44531709,604453,210100,304968,1304,21552,233,901,10139,55256,34.75869919,50.45355057,3.565537767,1.677384346,9.141488255,9353,3864,2134,2649,26839,7991,2426,16.9266686,6.992905748,3.862024034,4.794049515,4759,6532,2194,1014,2952,1412,2689,22.08147736,30.30809206,10.1800297,4.704899777,13.69710468,6.55159614,0.532,60903,250001,20216
04000US12,40,Florida,2010,18843326,13077179,1899051,3916584,3890293,2171876,1199375,14.5218705,29.9497621,29.74871721,16.6081385,9.171511685,24.91709225,26.71907844,18843326,10884119,2875804,39874,446753,10162,50631,282786,4253197,57.76113516,15.26165816,2.370881871,1.500722325,22.57137089,617426,864577,1264799,174276,469458,720533,142128,14.51675058,20.32769702,29.73760679,4.097529458,124926,73734,82287,13847,25658,67256,64872,27.96310265,16.50442191,18.41890262,3.099475549,5.743218288,15.05440366,0.474,44409,161876,19276
04000US13,40,Georgia,2010,9712587,6235623,979559,1824976,1729330,1093642,608116,15.70907991,29.26693933,27.73307495,17.53861643,9.752289386,27.36073959,27.21383317,9712587,5419594,2946140,16733,314636,2173,17658,138729,856924,55.7996958,30.33321606,3.239466478,1.428342418,8.822819296,537842,73507,24265,20824,114487,60699,25300,62.76425914,8.578006918,2.831639679,2.430087149,94474,44086,17112,8416,53817,52603,45590,30.02644326,14.01174691,5.438665633,2.674836954,17.10452714,16.71868445,0.468,46430,170304,18836
04000US15,40,Hawaii,2010,1363621,926928,93599,265263,294492,184364,89210,10.0977638,28.61743307,31.77075242,19.88978648,9.624264236,29.67007795,29.35253473,1363621,308895,19010,1803,518014,128281,1838,264779,121001,22.65255522,1.394082373,37.98812133,19.41734544,8.873506642,38473,42650,1269,326,3822,4414,30047,31.795605,35.24764258,1.048751663,0.269419261,2824,60359,199957,186167,24872,9998,46760,0.545159011,11.65200168,38.60069419,35.93860398,4.801414634,1.930063666,0.433,63030,201486,26672
04000US16,40,Idaho,2010,1571450,987829,115466,282678,348757,165218,75710,11.68886518,28.61608639,35.30540205,16.72536441,7.664281976,23.24022101,25.56811658,1571450,1320295,8524,17282,18616,2095,411,26901,177326,84.01762703,0.542428967,1.184638391,1.711858475,11.28422794,156187,4267,591,796,4320,3820,7345,88.07901831,2.406302516,0.333284459,0.448890744,2330,4012,1462,2546,1867,1658,4843,12.51611517,21.55135367,7.85345939,13.67640739,10.02900731,8.906317147,0.433,43490,139573,19735
04000US17,40,Illinois,2010,12843166,8465762,1110491,2336176,2415178,1629625,974292,13.11743704,27.59557852,28.52877272,19.2495962,11.50861553,30.65376004,30.87163837,12843166,8170079,1838731,14900,585009,3562,15202,177832,2037851,63.61421319,14.31680475,4.555021713,1.384643008,15.86720128,1620432,194096,25321,5311,73408,80005,39278,79.51670657,9.524543257,1.242534415,0.26061768,186955,110705,114593,18271,58160,29763,71727,31.957628,18.92364049,19.58824565,3.123199814,9.941727392,5.087614037,0.465,52972,189169,22045
04000US18,40,Indiana,2010,6490621,4229798,548278,1521860,1200547,617193,341920,12.96227385,35.97949595,28.38308118,14.59154787,8.083601155,22.36753088,23.00560216,6490621,5289807,578506,14158,101907,1143,7323,108227,389550,81.49924329,8.912953013,1.570065484,1.667436752,6.001736968,300198,28561,5168,3172,27539,12428,12484,77.06276473,7.331793095,1.326658965,0.814272879,27411,26048,9432,4961,9765,6209,19094,26.89805411,25.56056012,9.25549766,4.86816411,9.582266184,6.092810111,0.44,44613,144990,20039
04000US19,40,Iowa,2010,3049883,2018785,190644,681148,643442,344952,158599,9.443501908,33.74049242,31.87273533,17.08710933,7.856161008,25.15991718,24.71382601,3049883,2700807,93041,6940,50927,498,1739,44195,151736,88.55444619,3.050641615,1.66980176,1.449071981,4.975141669,120592,6396,786,439,13054,5341,5128,79.47487742,4.215215901,0.518004956,0.28931829,8796,9063,3565,591,7243,10087,12411,17.27178118,17.79606103,7.000215995,1.160484615,14.22231822,19.80678226,0.427,47961,148241,21384
